country,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths,new_deaths,new_deaths_smoothed,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,icu_patients,icu_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,stringency_index,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index
Argentina,2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,99.0,95.0,0.002,0.002,,,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,104.0,5.0,0.002,0.0,,,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-04,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,180.0,76.0,0.004,0.002,,,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-05,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,194.0,14.0,0.004,0.0,,,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-06,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,248.0,54.0,0.005,0.001,,,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-07,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,279.0,31.0,0.006,0.001,,,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-08,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,284.0,5.0,0.006,0.0,40.0,0.001,,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,285.0,1.0,0.006,0.0,27.0,0.001,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,364.0,79.0,0.008,0.002,37.0,0.001,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,365.0,1.0,0.008,0.0,26.0,0.001,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,405.0,40.0,0.009,0.001,30.0,0.001,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,408.0,3.0,0.009,0.0,23.0,0.001,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,410.0,2.0,0.009,0.0,19.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,476.0,66.0,0.011,0.001,27.0,0.001,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,478.0,2.0,0.011,0.0,28.0,0.001,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,484.0,6.0,0.011,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,487.0,3.0,0.011,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,531.0,44.0,0.012,0.001,18.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,536.0,5.0,0.012,0.0,18.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,537.0,1.0,0.012,0.0,18.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,539.0,2.0,0.012,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,540.0,1.0,0.012,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,,,,,8.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,542.0,2.0,0.012,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,563.0,21.0,0.012,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,564.0,1.0,0.012,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,567.0,3.0,0.013,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,586.0,19.0,0.013,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5483584,-2.5483584,-676.5,-15.021306,,,,,,,,,11.11,,588.0,2.0,0.013,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,625.0,37.0,0.014,0.001,12.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,628.0,3.0,0.014,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
Argentina,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,11.11,,,,,,9.0,0.0,0.0,,,,,,,,,,,,,,,ARG,South America,45407866.0,16.59225845336914,31.73900032043457,75.80609893798828,22461.44140625,,5.400000095367432,,4.989999771118164,
